"","sp","lon","lat","grupo"
"182","Dendrophryniscus brevipollicatus",-45.31,-23.22,"amphibians"
"183","Dendrophryniscus brevipollicatus",-46.63,-23.54,"amphibians"
"184","Dendrophryniscus brevipollicatus",-47.5,-23.96,"amphibians"
"185","Dendrophryniscus brevipollicatus",-45.0711,-23.4339,"amphibians"
"186","Dendropsophus anceps",-41.216391,-19.624809,"amphibians"
"187","Dendropsophus anceps",-40.273333,-19.820278,"amphibians"
"188","Dendropsophus anceps",-40.17586,-19.766469,"amphibians"
"189","Dendropsophus anceps",-43.377151,-22.728169,"amphibians"
"190","Dendropsophus anceps",-48.992974,-22.680619,"amphibians"
"191","Dendropsophus anceps",-45.713002,-23.102571,"amphibians"
"192","Dendropsophus anceps",-45.7,-23.1,"amphibians"
"193","Dendropsophus anceps",-42.728343,-22.515442,"amphibians"
"194","Dendropsophus anceps",-41.066667,-20.833333,"amphibians"
"195","Dendropsophus anceps",-42.144796,-22.481539,"amphibians"
"196","Dendropsophus anceps",-43.299654,-22.630937,"amphibians"
"197","Dendropsophus anceps",-43.311667,-22.785833,"amphibians"
"198","Dendropsophus anceps",-50.4031,-23.8492,"amphibians"
"199","Dendropsophus anceps",-43.183611,-21.523056,"amphibians"
"200","Dendropsophus anceps",-40.49923,-19.204921,"amphibians"
"201","Dendropsophus anceps",-39.928756,-16.540555,"amphibians"
"202","Dendropsophus anceps",-50.1878,-23.8486,"amphibians"
"203","Dendropsophus anceps",-42.218022,-22.828415,"amphibians"
"204","Dendropsophus anceps",-39.828457,-14.247758,"amphibians"
"205","Dendropsophus anceps",-43.775278,-22.852222,"amphibians"
"206","Dendropsophus anceps",-42.600399,-19.438368,"amphibians"
"207","Dendropsophus anceps",-49.9694,-23.1606,"amphibians"
"208","Dendropsophus anceps",-49.9476,-23.149462,"amphibians"
"209","Dendropsophus anceps",-40.500556,-18.715556,"amphibians"
"210","Dendropsophus anceps",-48.826425,-22.674007,"amphibians"
"211","Dendropsophus anceps",-40.072222,-19.391111,"amphibians"
"212","Dendropsophus anceps",-41.976659,-22.295578,"amphibians"
"213","Dendropsophus anceps",-43.113071,-22.611979,"amphibians"
